OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
SO43845,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,3,28.8404,86.5212,0,6.9217,2.163
SO43845,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,419.4589,419.4589,0,33.5567,10.4865
SO43845,"Road-650 Red, 48",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43845,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43845,"Road-450 Red, 58",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,874.794,874.794,0,69.9835,21.8699
SO43845,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43845,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,2146.962,4293.924,0,343.5139,107.3481
SO43845,"LL Road Frame - Red, 60",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,183.9382,183.9382,0,14.7151,4.5985
SO43845,AWC Logo Cap,Multi,Clothing,Caps,8.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,4,5.1865,20.746,0,1.6597,0.5187
SO43846,"LL Road Frame - Red, 60",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,183.9382,551.8146,0,44.1452,13.7954
SO43846,AWC Logo Cap,Multi,Clothing,Caps,8.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,5.1865,5.1865,0,0.4149,0.1297
SO43846,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,178.5808,178.5808,0,14.2865,4.4645
SO43846,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,183.9382,183.9382,0,14.7151,4.5985
SO43847,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,28.8404,28.8404,0,2.3072,0.721
SO43847,AWC Logo Cap,Multi,Clothing,Caps,8.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,5.1865,5.1865,0,0.4149,0.1297
SO43847,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,874.794,874.794,0,69.9835,21.8699
SO43848,"Mountain-100 Silver, 44",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,2039.994,2039.994,0,163.1995,50.9999
SO43848,"Mountain-100 Black, 48",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,2024.994,2024.994,0,161.9995,50.6249
SO43848,"Mountain-100 Black, 38",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,2024.994,2024.994,0,161.9995,50.6249
SO43848,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,4,2024.994,8099.976,0,647.9981,202.4994
SO43848,"Mountain-100 Silver, 38",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2039.994,4079.988,0,326.399,101.9997
SO43849,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2024.994,4049.988,0,323.999,101.2497
SO43849,"Long-Sleeve Logo Jersey, M",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,28.8404,28.8404,0,2.3072,0.721
SO43849,"Mountain-100 Black, 44",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2024.994,4049.988,0,323.999,101.2497
SO43849,"Mountain-100 Silver, 38",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2039.994,4079.988,0,326.399,101.9997
SO43849,"Sport-100 Helmet, Blue",Blue,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,20.1865,20.1865,0,1.6149,0.5047
SO43849,"Mountain-100 Silver, 44",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,2039.994,2039.994,0,163.1995,50.9999
SO43849,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,4,28.8404,115.3616,0,9.2289,2.884
SO43849,"Mountain-100 Silver, 42",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,2039.994,2039.994,0,163.1995,50.9999
SO43849,"Sport-100 Helmet, Red",Red,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,Nan,20.1865,20.1865,0,1.6149,0.5047
SO43849,"Mountain-100 Silver, 48",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2039.994,4079.988,0,326.399,101.9997
SO43849,"Sport-100 Helmet, Black",Black,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,20.1865,20.1865,0,1.6149,0.5047
SO43850,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43850,"Road-450 Red, 60",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,874.794,874.794,0,69.9835,21.8699
SO43850,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43850,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43850,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2146.962,2146.962,0,171.757,53.6741
SO43850,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,183.9382,551.8146,0,44.1452,13.7954
SO43850,"LL Road Frame - Red, 60",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,183.9382,183.9382,0,14.7151,4.5985
SO43850,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,874.794,2624.382,0,209.9506,65.6096
SO43850,"Road-450 Red, 44",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,874.794,874.794,0,69.9835,21.8699
SO43850,"ML Road Frame - Red, 48",Red,Components,Road Frames,594.83,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,356.898,1070.694,0,85.6555,26.7674
SO43850,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,178.5808,178.5808,0,14.2865,4.4645
SO43851,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43851,"Road-650 Red, 60",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,419.4589,419.4589,0,33.5567,10.4865
SO43851,"Sport-100 Helmet, Blue",Blue,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,20.1865,20.1865,0,1.6149,0.5047
SO43851,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,3,419.4589,1258.3767,0,100.6701,31.4594
SO43851,"Sport-100 Helmet, Red",Red,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,20.1865,20.1865,0,1.6149,0.5047
SO43851,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,183.9382,183.9382,0,14.7151,4.5985
SO43851,"Road-450 Red, 58",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,874.794,874.794,0,69.9835,21.8699
SO43851,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,3,178.5808,535.7424,0,42.8594,13.3936
SO43851,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,2146.962,2146.962,0,171.757,53.6741
SO43851,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,419.4589,419.4589,0,33.5567,10.4865
SO43851,AWC Logo Cap,Multi,Clothing,Caps,8.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,5.1865,5.1865,0,0.4149,0.1297
SO43851,"Sport-100 Helmet, Black",Black,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,3,20.1865,60.5595,0,4.8448,1.514
SO43852,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2024.994,2024.994,0,161.9995,50.6249
SO43853,"Mountain-100 Black, 44",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,2024.994,4049.988,0,323.999,101.2497
SO43853,"Mountain-100 Silver, 44",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2039.994,2039.994,0,163.1995,50.9999
SO43853,"Mountain-100 Silver, 38",Silver,Bikes,Mountain Bikes,3399.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2039.994,2039.994,0,163.1995,50.9999
SO43853,"Mountain-100 Black, 42",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,4,2024.994,8099.976,0,647.9981,202.4994
SO43853,"Mountain-100 Black, 38",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,2024.994,4049.988,0,323.999,101.2497
SO43853,"Mountain-100 Black, 48",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,2024.994,6074.982,0,485.9986,151.8746
SO43854,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,874.794,1749.588,0,139.967,43.7397
SO43855,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43855,"Road-650 Red, 60",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43855,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2146.962,2146.962,0,171.757,53.6741
SO43855,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,4,419.4589,1677.8356,0,134.2268,41.9459
SO43855,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,178.5808,178.5808,0,14.2865,4.4645
SO43855,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,419.4589,1258.3767,0,100.6701,31.4594
SO43855,"ML Road Frame - Red, 48",Red,Components,Road Frames,594.83,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,356.898,713.796,0,57.1037,17.8449
SO43855,"Road-650 Black, 60",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43855,"LL Road Frame - Red, 48",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,,183.9382,183.9382,0,14.7151,4.5985
SO43855,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43855,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,183.9382,183.9382,0,14.7151,4.5985
SO43855,"Road-450 Red, 60",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,874.794,874.794,0,69.9835,21.8699
SO43855,"Road-650 Black, 44",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43856,"Mountain Bike Socks, M",White,Clothing,Socks,9.5,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,5.7,11.4,0,0.912,0.285
SO43856,"Mountain-100 Black, 44",Black,Bikes,Mountain Bikes,3374.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,2024.994,2024.994,0,161.9995,50.6249
SO43857,"Road-650 Red, 60",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43857,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43857,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,419.4589,838.9178,0,67.1134,20.9729
SO43857,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,874.794,2624.382,0,209.9506,65.6096
SO43857,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,28.8404,28.8404,0,2.3072,0.721
SO43857,AWC Logo Cap,Multi,Clothing,Caps,8.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,3,5.1865,15.5595,0,1.2448,0.389
SO43857,"Long-Sleeve Logo Jersey, XL",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,28.8404,28.8404,0,2.3072,0.721
SO43857,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,183.9382,183.9382,0,14.7151,4.5985
SO43857,"Sport-100 Helmet, Blue",Blue,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,20.1865,40.373,0,3.2298,1.0093
SO43857,"Sport-100 Helmet, Black",Black,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,20.1865,20.1865,0,1.6149,0.5047
SO43857,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,178.5808,357.1616,0,28.5729,8.929
SO43857,"Road-650 Red, 48",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,1,419.4589,419.4589,0,33.5567,10.4865
SO43857,"Road-450 Red, 58",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,874.794,1749.588,0,139.967,43.7397
SO43857,"Sport-100 Helmet, Red",Red,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Canada,2,20.1865,40.373,0,3.2298,1.0093
SO43858,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43858,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43858,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,5,419.4589,2097.2945,0,167.7836,52.4324
SO43858,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,419.4589,419.4589,0,33.5567,10.4865
SO43858,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,,178.5808,357.1616,0,28.5729,8.929
SO43858,"Road-650 Red, 48",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,3,419.4589,1258.3767,0,100.6701,31.4594
SO43858,"Road-450 Red, 58",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,2,874.794,1749.588,0,139.967,43.7397
SO43858,"LL Road Frame - Black, 58",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,178.5808,178.5808,0,14.2865,4.4645
SO43858,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,2,2146.962,4293.924,0,343.5139,107.3481
SO43858,"LL Road Frame - Red, 48",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,183.9382,183.9382,0,14.7151,4.5985
SO43858,"Road-650 Black, 60",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,419.4589,419.4589,0,33.5567,10.4865
SO43858,"LL Road Frame - Red, 60",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,183.9382,183.9382,0,14.7151,4.5985
SO43858,"Road-450 Red, 44",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northeast,1,874.794,874.794,0,69.9835,21.8699
SO43859,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Southwest,1,28.8404,28.8404,0,2.3072,0.721
SO43859,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southwest,1,419.4589,419.4589,0,33.5567,10.4865
SO43859,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Southwest,3,874.794,2624.382,0,209.9506,65.6096
SO43859,"Road-650 Red, 60",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southwest,2,419.4589,838.9178,0,67.1134,20.9729
SO43860,"Road-650 Red, 62",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,,419.4589,838.9178,0,67.1134,20.9729
SO43860,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,419.4589,419.4589,0,33.5567,10.4865
SO43860,"Road-450 Red, 52",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,874.794,1749.588,0,139.967,43.7397
SO43860,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,419.4589,838.9178,0,67.1134,20.9729
SO43860,"ML Road Frame - Red, 48",Red,Components,Road Frames,594.83,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,356.898,356.898,0,28.5518,8.9225
SO43860,"Road-650 Red, 44",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,419.4589,419.4589,0,33.5567,10.4865
SO43860,"LL Road Frame - Black, 52",Black,Components,Road Frames,297.6346,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,178.5808,178.5808,0,14.2865,4.4645
SO43860,"Road-650 Black, 44",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,419.4589,419.4589,0,33.5567,10.4865
SO43860,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,2,2146.962,4293.924,0,343.5139,107.3481
SO43860,"LL Road Frame - Red, 60",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,183.9382,183.9382,0,14.7151,4.5985
SO43860,"Road-650 Red, 48",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,419.4589,419.4589,0,33.5567,10.4865
SO43860,"Road-450 Red, 44",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Northwest,1,874.794,874.794,0,69.9835,21.8699
SO43861,"ML Road Frame - Red, 48",Red,Components,Road Frames,594.83,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,356.898,356.898,0,28.5518,8.9225
SO43861,"Road-650 Red, 52",Red,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,3,419.4589,1258.3767,0,100.6701,31.4594
SO43861,"Road-650 Black, 52",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,5,419.4589,2097.2945,0,167.7836,52.4324
SO43861,"Road-650 Black, 44",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43861,"LL Road Frame - Red, 44",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,183.9382,183.9382,0,14.7151,4.5985
SO43861,"Long-Sleeve Logo Jersey, L",Multi,Clothing,Jerseys,48.0673,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,9,28.8404,259.5636,0,20.7651,6.4891
SO43861,"Road-650 Black, 58",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,4,419.4589,1677.8356,0,134.2268,41.9459
SO43861,"Road-150 Red, 56",Red,Bikes,Road Bikes,3578.27,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,1,2146.962,2146.962,0,171.757,53.6741
SO43861,"ML Road Frame - Red, 52",Red,Components,Road Frames,594.83,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,356.898,713.796,0,57.1037,17.8449
SO43861,"LL Road Frame - Red, 62",Red,Components,Road Frames,306.5636,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,183.9382,367.8764,0,29.4301,9.1969
SO43861,"Road-650 Black, 60",Black,Bikes,Road Bikes,699.0982,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,2,419.4589,838.9178,0,67.1134,20.9729
SO43861,"Sport-100 Helmet, Blue",Blue,Accessories,Helmets,33.6442,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,4,20.1865,80.746,0,6.4597,2.0187
SO43861,"Road-450 Red, 58",Red,Bikes,Road Bikes,1457.99,1/29/2011,02-10-2011,02-05-2011,No Discount,Southeast,3,874.794,2624.382,0,209.9506,65.6096
